Type,Origin,Nested,Category,label,as,BQ Field,value type,inject to SELECT,Inject to WHERE,GROUP BY,Default paramaters,Additional Parameters,Count,Distinct,SUM,AVG
Dimension,Calculated,FALSE,General,Language,Language,NA,STRING,(SELECT value.string_value FROM UNNEST(event_params) WHERE key = 'Language'),NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Calculated,FALSE,General,Page location,Page_location,NA,STRING,(SELECT value.string_value FROM UNNEST(event_params) WHERE key = 'page_location'),NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Calculated,FALSE,General,Page referrer,Page_referrer,NA,STRING,(SELECT value.string_value FROM UNNEST(event_params) WHERE key = 'page_referrer'),NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Calculated,FALSE,General,Page title,Page_title,NA,STRING,(SELECT value.string_value FROM UNNEST(event_params) WHERE key = 'page_title'),NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
Dimension,Calculated,FALSE,Date,Event timestamp,Event_timestamp,event_timestamp,STRING,event_timestamp,NA,TRUE,NA,NA,NA,NA,NA,NA
Dimension,Calculated,FALSE,General,Session ID,Session_id,NA,STRING,(SELECT value.int_value FROM UNNEST(event_params) WHERE key = 'ga_session_id'),NA,FALSE,NA,NA,NA,NA,NA,NA
Dimension,Calculated,FALSE,General,Session number,Session_number,NA,INT,(SELECT value.int_value FROM UNNEST(event_params) WHERE key = 'ga_session_number'),NA,FALSE,NA,NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Bounces,Bounces,NA,INT,"COUNT(distinct concat(user_pseudo_id,(select value.int_value from unnest(event_params) where key = 'ga_session_id'))) - COUNT(distinct case when (select value.string_value from unnest(event_params) where key = 'session_engaged') = '1' then concat(user_pseudo_id,(select value.int_value from unnest(event_params) where key = 'ga_session_id')) end)",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Metric,Built-in,FALSE,Events,Event value (USD),Event_value_USD,NA,FLOAT,sum(event_value_in_usd),NA,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE
Metric,Calculated,FALSE,General,Avg pages per session,Avg_pages_per_session,NA,FLOAT,"COUNT(distinct case when event_name = ""page_view"" then concat(user_pseudo_id,event_timestamp) end)/COUNT(distinct case when event_name = ""session_start"" then concat(user_pseudo_id,event_timestamp) end)",NA,NA,NA,NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Avg sessions per user,Avg_sessions_per_user,NA,FLOAT,"COUNT(distinct case when event_name = ""session_start"" then concat(user_pseudo_id,event_timestamp) end)/COUNT(distinct user_pseudo_id)",NA,NA,NA,NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Engaged sessions,Engaged_sessions,NA,INT,"COUNT(distinct case when (select value.string_value from unnest(event_params) where key = 'session_engaged') = '1' then concat(user_pseudo_id,(select value.int_value from unnest(event_params) where key = 'ga_session_id')) end)",NA,NA,NA,NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Engagement rate,Engagement_rate,NA,Float,"ROUND(100*(safe_divide(COUNT(distinct case when (select value.string_value from unnest(event_params) where key = 'session_engaged') = '1' then concat(user_pseudo_id,(select value.int_value from unnest(event_params) where key = 'ga_session_id')) end),COUNT(distinct concat(user_pseudo_id,(select value.int_value from unnest(event_params) where key = 'ga_session_id')))),2)",NA,NA,NA,NA,NA,NA,NA,NA
